listings.id,listings.host_id,listings.property_type,listings.room_type,listings.accommodates,listings.price,listings.security_deposit,listings.cleaning_fee,listings.guests_included,listings.extra_people,listings.minimum_nights,listings.availability_365,listings.cancellation_policy,listings.neighborhood_id
1336364,1152621,P1,R1,4,85,100,30,2,15,2,257,C1,120
229826,1152621,P1,R1,8,211,300,125,4,35,2,352,C1,120
14873181,8143455,P1,R1,6,190,173,75,4,20,2,257,C1,120
17554794,329206,P1,R2,2,54,250,15,2,150,1,57,C3,120
13713501,68529496,P3,R2,2,75,500,6,1,0,1,72,C3,120
17142628,33211956,P8,R1,5,175,200,75,1,0,3,28,C1,120
6644524,34778026,P1,R1,6,300,200,85,4,20,2,314,C3,120
6864560,35969055,P5,R1,4,200,650,50,1,0,1,72,C2,120
12379595,2209061,P1,R1,3,225,500,80,2,50,3,346,C1,120
4512813,11796850,P5,R1,5,179,200,80,3,20,4,355,C1,120
13192068,1394351,P5,R1,2,190,300,65,1,0,3,68,C3,120
17240514,1139947,P1,R1,4,107,300,60,1,0,2,308,C1,120
17178213,1139947,P1,R1,10,350,600,125,10,50,1,297,C1,120
9107692,8819400,P1,R1,5,111,100,40,2,20,2,172,C1,120
14150807,47396409,P1,R1,4,250,300,120,4,25,2,152,C2,120
7509321,39290149,P8,R1,4,160,150,69,1,0,2,299,C1,120
15494746,7066873,P8,R2,2,60,100,75,2,25,3,96,C2,120
3728937,19051832,P8,R1,5,79,100,70,4,50,2,330,C1,120
18290563,25794313,P1,R1,6,122,100,60,4,20,2,101,C1,120
14167586,27232871,P1,R2,4,49,100,20,2,10,1,150,C1,120
8399678,1483478,P8,R1,10,499,500,150,6,35,1,327,C1,120
7202487,863268,P8,R1,6,215,300,100,4,0,2,156,C2,120
7899683,5186996,P1,R1,6,309,100,70,1,0,1,10,C1,120
6272432,32410954,P1,R2,3,65,150,15,2,25,2,364,C1,120
372929,1876597,P3,R1,12,295,500,100,2,25,1,317,C1,120
2062638,1876597,P3,R1,10,295,500,100,2,25,1,337,C1,120
10749118,55574851,P1,R1,6,200,200,75,2,25,2,356,C1,120
14057684,233562,P1,R2,2,50,100,20,2,25,2,119,C3,120
13478467,37615606,P8,R1,14,135,200,150,8,20,1,132,C1,120
3432778,2038082,P5,R2,2,200,100,15,1,10,2,361,C1,120
14537102,89922854,P1,R1,2,150,200,50,2,50,2,259,C1,120
753896,3966036,P1,R1,4,155,150,25,2,25,1,336,C3,120
15216611,9994679,P1,R1,12,94,400,115,2,25,4,219,C1,120
14712050,51011055,P1,R1,7,200,100,100,7,40,2,100,C1,120
16719674,3798956,P1,R1,4,125,500,60,3,100,1,332,C3,120
8507201,4574795,P1,R2,2,73,300,35,1,0,2,33,C3,120
18159280,62972534,P1,R1,7,127,500,120,4,25,2,147,C1,120
15676802,41109324,P1,R2,5,80,150,15,2,15,1,161,C2,120
1668481,531832,P1,R1,5,85,200,40,2,10,2,278,C2,120
15560722,97244726,P8,R1,12,359,200,100,6,20,2,59,C3,120
6104268,31673336,P8,R2,2,71,100,15,1,35,28,97,C2,120
6767677,35092958,P5,R1,3,105,250,55,2,45,1,278,C2,120
4366516,6263183,P1,R1,5,200,250,50,4,50,4,198,C1,120
1565578,33004,P1,R1,4,150,300,150,1,0,30,311,C1,126
5447656,1777718,P1,R1,2,100,200,50,2,15,2,196,C2,126
2268203,11162257,P6,R2,2,125,150,35,2,0,1,359,C1,126
11799685,62825933,P1,R2,2,35,150,10,1,0,2,148,C2,126
